date | value
2021-05-27 | 4
2021-05-30 | 36
2021-06-02 | 4
2021-06-05 | 1
2021-06-08 | 14
2021-06-11 | 2
2021-06-14 | 3
2021-06-17 | 4
2021-06-20 | 7
2021-06-23 | 9
2021-06-26 | 12
2021-06-29 | 7
2021-07-02 | 6
2021-07-05 | 30
2021-07-08 | 4
2021-07-11 | 3
2021-07-14 | 66
2021-07-17 | 31
2021-07-20 | 305
2021-07-23 | 39
2021-07-26 | 312
2021-07-29 | 30
2021-08-01 | 16
2021-08-04 | 1
2021-08-07 | 10
2021-08-10 | 446
2021-08-13 | 8
2021-08-16 | 3
2021-08-19 | 7
2021-08-22 | 202
2021-08-25 | 8
2021-08-28 | 46
2021-08-31 | 4
2021-09-03 | 11
2021-09-06 | 16
2021-09-09 | 413
2021-09-12 | 379
2021-09-15 | 412
2021-09-18 | 46
2021-09-21 | 1
2021-09-27 | 1
2021-09-30 | 2
2021-10-03 | 1
2021-10-06 | 115
2021-10-09 | 1
2021-10-12 | 331
2021-10-15 | 174
2021-10-18 | 5
2021-10-21 | 1
2021-10-27 | 1337
2021-10-30 | 28
2021-11-01 | 121
2021-11-04 | 1
2021-11-07 | 2
2021-11-10 | 61
2021-11-13 | 1
2021-11-16 | 1126
2021-11-19 | 12
2021-11-22 | 11
2021-11-25 | 5
2021-11-28 | 128
2021-12-01 | 9
2021-12-04 | 2
2021-12-07 | 16
2021-12-10 | 446
2021-12-13 | 469
2021-12-16 | 4
2021-12-19 | 18
2021-12-22 | 5
2021-12-25 | 19
2021-12-28 | 3126
2021-12-31 | 46
2022-01-03 | 4
2022-01-06 | 120
2022-01-09 | 4
2022-01-12 | 16
2022-01-15 | 146
2022-01-18 | 11
2022-01-21 | 5
2022-01-24 | 2
2022-01-27 | 1415
2022-01-30 | 18
2022-02-02 | 1
2022-02-05 | 4
2022-02-08 | 128
2022-02-11 | 13127
2022-02-14 | 15
2022-02-17 | 3069
2022-02-20 | 2
2022-02-23 | 21
2022-02-26 | 31
2022-03-01 | 3
2022-03-04 | 3125
2022-03-07 | 15
2022-03-10 | 39
2022-03-13 | 11
2022-03-16 | 108
2022-03-19 | 12
2022-03-22 | 1
2022-03-25 | 4
2022-03-29 | 66
